[1;31m[PHY]   put_queue: queue is full
[24.0] Checking tx_Data_request for 561438 times 
[24.0] Checking tx_Data_request for 561439 times 
[24.0] Checking tx_Data_request for 561440 times 
[24.0] Checking tx_Data_request for 561441 times 
[24.0] Checking tx_Data_request for 561442 times 
[24.0] Checking tx_Data_request for 561443 times 
[24.0] Checking tx_Data_request for 561444 times 
[24.0] Checking tx_Data_request for 561445 times 
[24.0] Checking tx_Data_request for 561446 times 
[24.0] Checking tx_Data_request for 561447 times 
[24.0] Checking tx_Data_request for 561448 times 
[24.0] Checking tx_Data_request [1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0m[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0mfor 561449 times 
[24.0] Checking tx_Data_request for 561450 times 
[24.0] Checking tx_Data_request for 561451 times 
[24.0] Checking tx_Data_request for 561452 times 
[24.0] Checking tx_Data_request for 561453 times 
[24.0] Checking tx_Data_request for 561454 times 
[24.0] Checking tx_Data_request for 561455 times 
[24.0] Checking tx_Data_request for 561456 times 
[24.0] Checking tx_Data_request for 561457 times 
[24.0] Checking tx_Data_request for 561458 times 
[24.0] Checking tx_Data_request for 561459 times 
[24.0] Checking tx_Data_request for 561460 times 
[24.0] Checking tx_Data_request for 561461 times 
[24.0] Checking tx_Data_request for 561462 times 
[24.0] Checking tx_Data_request for 561463 times 
[24.0] Checking tx_Data_request for 561464 times 
[24.0] Checking tx_Data_request for 561465 times 
[24.0] Checking tx_Data_request for 561466 times 
[24.0] Checking tx_Data_request for 561467 times 
[24.0] Checking tx_Data_request for 561468 times 
[24.0] Checking tx_Data_request for 561469 times 
[24.0] Checking tx_Data_request for 561470 times 
[24.0] Checking tx_Data_request for 561471 times 
[24.0] Checking tx_Data_request for 561472 times 
[24.0] Checking tx_Data_request for 561473 times 
[24.0] Checking tx_Data_request for 561474 times 
[24.0] Checking tx_Data_request for 561475 times 
[24.0] Checking tx_Data_request for 561476 times 
[24.0] Checking tx_Data_request for 561477 times 
[24.0] Checking tx_Data_request for 561478 times 
[24.0] Checking tx_Data_request for 561479 times 
[24.0] Checking tx_Data_request for 561480 times 
[24.0] Checking tx_Data_request for 561481 times 
[24.0] Checking tx_Data_request for 561482 times 
[24.0] Checking tx_Data_request for 561483 times 
[24.0] Checking tx_Data_request for 561484 times 
[24.0] Checking tx_Data_request for 561485 times 
[24.0] Checking tx_Data_request for 561486 times 
[24.0] Checking tx_Data_request for 561487 times 
[24.0] Checking tx_Data_request for 561488 times 
[24.0] Checking tx_Data_request for 561489 times 
[24.0] Checking tx_Data_request for 561490 times 
[24.0] Checking tx_Data_request for 561491 times 
[24.0] Checking tx_Data_request for 561492 times 
[24.0] Checking tx_Data_request for 561493 times 
[24.0] Checking tx_Data_request for 561494 times 
[24.0] Checking tx_Data_request for 561495 times 
[24.0] Checking tx_Data_request for 561496 times 
[24.0] Checking tx_Data_request for 561497 times 
[24.0] Checking tx_Data_request for 561498 times 
[24.0] Checking tx_Data_request for 561499 times 
[24.0] Checking tx_Data_request for 561500 times 
[24.0] Checking tx_Data_request for 561501 times 
[24.0] Checking tx_Data_request for 561502 times 
[24.0] Checking tx_Data_request for 561503 times 
[24.0] Checking tx_Data_request for 561504 times 
[24.0] Checking tx_Data_request for 561505 times 
[24.0] Checking tx_Data_request for 561506 times 
[24.0] Checking tx_Data_request for 561507 times 
[24.0] Checking tx_Data_request for 561508 times 
[24.0] Checking tx_Data_request for 561509 times 
[24.0] Checking tx_Data_request for 561510 times 
[24.0] Checking tx_Data_request for 561511 times 
[24.0] Checking tx_Data_request for 561512 times 
[24.0] Checking tx_Data_request for 561513 times 
[24.0] Checking tx_Data_request for 561514 times 
[24.0] Checking tx_Data_request for 561515 times 
[24.0] Checking tx_Data_request for 561516 times 
[24.0] Checking tx_Data_request for 561517 times 
[24.0] Checking tx_Data_request for 561518 times 
[24.0] Checking tx_Data_request for 561519 times 
[24.0] Checking tx_Data_request for 561520 times 
[24.0] Checking tx_Data_request for 561521 times 
[24.0] Checking tx_Data_request for 561522 times 
[24.0] Checking tx_Data_request for 561523 times 
[24.0] Checking tx_Data_request for 561524 times 
[24.0] Checking tx_Data_request for 561525 times 
[24.0] Checking tx_Data_request for 561526 times 
[24.0] Checking tx_Data_request for 561527 times 
[24.0] Checking tx_Data_request for 561528 times 
[24.0] Checking tx_Data_request for 561529 times 
[24.0] Checking tx_Data_request for 561530 times 
[24.0] Checking tx_Data_requ[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0m[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0mest for 561531 times 
[24.0] Checking tx_Data_request for 561532 times 
[24.0] Checking tx_Data_request for 561533 times 
[24.0] Checking tx_Data_request for 561534 times 
[24.0] Checking tx_Data_request for 561535 times 
[24.0] Checking tx_Data_request for 561536 times 
[24.0] Checking tx_Data_request for 561537 times 
[24.0] Checking tx_Data_request for 561538 times 
[24.0] Checking tx_Data_request for 561539 times 
[24.0] Checking tx_Data_request for 561540 times 
[24.0] Checking tx_Data_request for 561541 times 
[24.0] Checking tx_Data_request for 561542 times 
[24.0] Checking tx_Data_request for 561543 times 
[24.0] Checking tx_Data_request for 561544 times 
[24.0] Checking tx_Data_request for 561545 times 
[24.0] Checking tx_Data_request for 561546 times 
[24.0] Checking tx_Data_request for 561547 times 
[24.0] Checking tx_Data_request for 561548 times 
[24.0] Checking tx_Data_request for 561549 times 
[24.0] Checking tx_Data_request for 561550 times 
[24.0] Checking tx_Data_request for 561551 times 
[24.0] Checking tx_Data_request for 561552 times 
[24.0] Checking tx_Data_request for 561553 times 
[24.0] Checking tx_Data_request for 561554 times 
[24.0] Checking tx_Data_request for 561555 times 
[24.0] Checking tx_Data_request for 561556 times 
[24.0] Checking tx_Data_request for 561557 times 
[24.0] Checking tx_Data_request for 561558 times 
[24.0] Checking tx_Data_request for 561559 times 
[24.0] Checking tx_Data_request for 561560 times 
[24.0] Checking tx_Data_request for 561561 times 
[24.0] Checking tx_Data_request for 561562 times 
[24.0] Checking tx_Data_request for 561563 times 
[24.0] Checking tx_Data_request for 561564 times 
[24.0] Checking tx_Data_request for 561565 times 
[24.0] Checking tx_Data_request for 561566 times 
[24.0] Checking tx_Data_request for 561567 times 
[24.0] Checking tx_Data_request for 561568 times 
[24.0] Checking tx_Data_request for 561569 times 
[24.0] Checking tx_Data_request for 561570 times 
[24.0] Checking tx_Data_request for 561571 times 
[24.0] Checking tx_Data_request for 561572 times 
[24.0] Checking tx_Data_request for 561573 times 
[24.0] Checking tx_Data_request for 561574 times 
[24.0] Checking tx_Data_request for 561575 times 
[24.0] Checking tx_Data_request for 561576 times 
[24.0] Checking tx_Data_request for 561577 times 
[24.0] Checking tx_Data_request for 561578 times 
[24.0] Checking tx_Data_request for 561579 times 
[24.0] Checking tx_Data_request for 561580 times 
[24.0] Checking tx_Data_request for 561581 times 
[24.0] Checking tx_Data_request for 561582 times 
[24.0] Checking tx_Data_request for 561583 times 
[24.0] Checking tx_Data_request for 561584 times 
[24.0] Checking tx_Data_request for 561585 times 
[24.0] Checking tx_Data_request for 561586 times 
[24.0] Checking tx_Data_request for 561587 times 
[24.0] Checking tx_Data_request for 561588 times 
[24.0] Checking tx_Data_request for 561589 times 
[24.0] Checking tx_Data_request for 561590 times 
[24.0] Checking tx_Data_request for 561591 times 
[24.0] Checking tx_Data_request for 561592 times 
[24.0] Checking tx_Data_request for 561593 times 
[24.0] Checking tx_Data_request for 561594 times 
[24.0] Checking tx_Data_request for 561595 times 
[24.0] Checking tx_Data_request for 561596 times 
[24.0] Checking tx_Data_request for 561597 times 
[24.0] Checking tx_Data_request for 561598 times 
[24.0] Checking tx_Data_request for 561599 times 
[24.0] Checking tx_Data_request for 561600 times 
[24.0] Checking tx_Data_request for 561601 times 
[24.0] Checking tx_Data_request for 561602 times 
[24.0] Checking tx_Data_request for 561603 times 
[24.0] Checking tx_Data_request for 561604 times 
[24.0] Checking tx_Data_request for 561605 times 
[24.0] Checking tx_Data_request for 561606 times 
[24.0] Checking tx_Data_request for 561607 times 
[24.0] Checking tx_Data_request for 561608 times 
[24.0] Checking tx_Data_request for 561609 times 
[24.0] Checking tx_Data_request for 561610 times 
[24.0] Checking tx_Data_request for 561611 times 
[24.0] Checking tx_Data_request for 561612 times 
[24.0] Checking tx_Data_[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0mrequest for 561613 times 
[24.0] Checking tx_Data_request for 561614 times 
[24.0] Checking tx_Data_request for 561615 times 
[24.0] Checking tx_Data_request for 561616 times 
[24.0] Checking tx_Data_request for 561617 times 
[24.0] Checking tx_Data_request for 561618 times 
[24.0] Checking tx_Data_request for 561619 times 
[24.0] Checking tx_Data_request for 561620 times 
[24.0] Checking tx_Data_request for 561621 times 
[24.0] Checking tx_Data_request for 561622 times 
[24.0] Checking tx_Data_request for 561623 times 
[24.0] Checking tx_Data_request for 561624 times 
[24.0] Checking tx_Data_request for 561625 times 
[24.0] Checking tx_Data_request for 561626 times 
[24.0] Checking tx_Data_request for 561627 times 
[24.0] Checking tx_Data_request for 561628 times 
[24.0] Checking tx_Data_request for 561629 times 
[24.0] Checking tx_Data_request for 561630 times 
[24.0] Checking tx_Data_request for 561631 times 
[24.0] Checking tx_Data_request for 561632 times 
[24.0] Checking tx_Data_request for 561633 times 
[24.0] Checking tx_Data_request for 561634 times 
[24.0] Checking tx_Data_request for 561635 times 
[24.0] Checking tx_Data_request for 561636 times 
[24.0] Checking tx_Data_request for 561637 times 
[24.0] Checking tx_Data_request for 561638 times 
[24.0] Checking tx_Data_request for 561639 times 
[24.0] Checking tx_Data_request for 561640 times 
[24.0] Checking tx_Data_request for 561641 times 
[24.0] Checking tx_Data_request for 561642 times 
[24.0] Checking tx_Data_request for 561643 times 
[24.0] Checking tx_Data_request for 561644 times 
[24.0] Checking tx_Data_request for 561645 times 
[24.0] Checking tx_Data_request for 561646 times 
[24.0] Checking tx_Data_request for 561647 times 
[24.0] Checking tx_Data_request for 561648 times 
[24.0] Checking tx_Data_request for 561649 times 
[24.0] Checking tx_Data_request for 561650 times 
[24.0] Checking tx_Data_request for 561651 times 
[24.0] Checking tx_Data_request for 561652 times 
[24.0] Checking tx_Data_request for 561653 times 
[24.0] Checking tx_Data_request for 561654 times 
[24.0] Checking tx_Data_request for 561655 times 
[24.0] Checking tx_Data_request for 561656 times 
[24.0] Checking tx_Data_request for 561657 times 
[24.0] Checking tx_Data_request for 561658 times 
[24.0] Checking tx_Data_request for 561659 times 
[24.0] Checking tx_Data_request for 561660 times 
[24.0] Checking tx_Data_request for 561661 times 
[24.0] Checking tx_Data_request for 561662 times 
[24.0] Checking tx_Data_request for 561663 times 
[24.0] Checking tx_Data_request for 561664 times 
[24.0] Checking tx_Data_request for 561665 times 
[24.0] Checking tx_Data_request for 561666 times 
[24.0] Checking tx_Data_request for 561667 times 
[24.0] Checking tx_Data_request for 561668 times 
[24.0] Checking tx_Data_request for 561669 times 
[24.0] Checking tx_Data_request for 561670 times 
[24.0] Checking tx_Data_request for 561671 times 
[24.0] Checking tx_Data_request for 561672 times 
[24.0] Checking tx_Data_request for 561673 times 
[24.0] Checking tx_Data_request for 561674 times 
[24.0] Checking tx_Data_request for 561675 times 
[24.0] Checking tx_Data_request for 561676 times 
[24.0] Checking tx_Data_request for 561677 times 
[24.0] Checking tx_Data_request for 561678 times 
[24.0] Checking tx_Data_request for 561679 times 
[24.0] Checking tx_Data_request for 561680 times 
[24.0] Checking tx_Data_request for 561681 times 
[24.0] Checking tx_Data_request for 561682 times 
[24.0] Checking tx_Data_request for 561683 times 
[24.0] Checking tx_Data_request for 561684 times 
[24.0] Checking tx_Data_request for 561685 times 
[24.0] Checking tx_Data_request for 561686 times 
[24.0] Checking tx_Data_request for 561687 times 
[24.0] Checking tx_Data_request for 561688 times 
[24.0] Checking tx_Data_request for 561689 times 
[24.0] Checking tx_Data_request for 561690 times 
[24.0] Checking tx_Data_request for 561691 times 
[24.0] Checking tx_Data_request for 561692 times 
[24.0] Checking tx_Data_request for 561693 times 
[24.0] Checking tx_Data_request for 561694 times 
[24.0] Checking tx_D[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0m[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0mata_request for 561695 times 
[24.0] Checking tx_Data_request for 561696 times 
[24.0] Checking tx_Data_request for 561697 times 
[24.0] Checking tx_Data_request for 561698 times 
[24.0] Checking tx_Data_request for 561699 times 
[24.0] Checking tx_Data_request for 561700 times 
[24.0] Checking tx_Data_request for 561701 times 
[24.0] Checking tx_Data_request for 561702 times 
[24.0] Checking tx_Data_request for 561703 times 
[24.0] Checking tx_Data_request for 561704 times 
[24.0] Checking tx_Data_request for 561705 times 
[24.0] Checking tx_Data_request for 561706 times 
[24.0] Checking tx_Data_request for 561707 times 
[24.0] Checking tx_Data_request for 561708 times 
[24.0] Checking tx_Data_request for 561709 times 
[24.0] Checking tx_Data_request for 561710 times 
[24.0] Checking tx_Data_request for 561711 times 
[24.0] Checking tx_Data_request for 561712 times 
[24.0] Checking tx_Data_request for 561713 times 
[24.0] Checking tx_Data_request for 561714 times 
[24.0] Checking tx_Data_request for 561715 times 
[24.0] Checking tx_Data_request for 561716 times 
[24.0] Checking tx_Data_request for 561717 times 
[24.0] Checking tx_Data_request for 561718 times 
[24.0] Checking tx_Data_request for 561719 times 
[24.0] Checking tx_Data_request for 561720 times 
[24.0] Checking tx_Data_request for 561721 times 
[24.0] Checking tx_Data_request for 561722 times 
[24.0] Checking tx_Data_request for 561723 times 
[24.0] Checking tx_Data_request for 561724 times 
[24.0] Checking tx_Data_request for 561725 times 
[24.0] Checking tx_Data_request for 561726 times 
[24.0] Checking tx_Data_request for 561727 times 
[24.0] Checking tx_Data_request for 561728 times 
[24.0] Checking tx_Data_request for 561729 times 
[24.0] Checking tx_Data_request for 561730 times 
[24.0] Checking tx_Data_request for 561731 times 
[24.0] Checking tx_Data_request for 561732 times 
[24.0] Checking tx_Data_request for 561733 times 
[24.0] Checking tx_Data_request for 561734 times 
[24.0] Checking tx_Data_request for 561735 times 
[24.0] Checking tx_Data_request for 561736 times 
[24.0] Checking tx_Data_request for 561737 times 
[24.0] Checking tx_Data_request for 561738 times 
[24.0] Checking tx_Data_request for 561739 times 
[24.0] Checking tx_Data_request for 561740 times 
[24.0] Checking tx_Data_request for 561741 times 
[24.0] Checking tx_Data_request for 561742 times 
[24.0] Checking tx_Data_request for 561743 times 
[24.0] Checking tx_Data_request for 561744 times 
[24.0] Checking tx_Data_request for 561745 times 
[24.0] Checking tx_Data_request for 561746 times 
[24.0] Checking tx_Data_request for 561747 times 
[24.0] Checking tx_Data_request for 561748 times 
[24.0] Checking tx_Data_request for 561749 times 
[24.0] Checking tx_Data_request for 561750 times 
[24.0] Checking tx_Data_request for 561751 times 
[24.0] Checking tx_Data_request for 561752 times 
[24.0] Checking tx_Data_request for 561753 times 
[24.0] Checking tx_Data_request for 561754 times 
[24.0] Checking tx_Data_request for 561755 times 
[24.0] Checking tx_Data_request for 561756 times 
[24.0] Checking tx_Data_request for 561757 times 
[24.0] Checking tx_Data_request for 561758 times 
[24.0] Checking tx_Data_request for 561759 times 
[24.0] Checking tx_Data_request for 561760 times 
[24.0] Checking tx_Data_request for 561761 times 
[24.0] Checking tx_Data_request for 561762 times 
[24.0] Checking tx_Data_request for 561763 times 
[24.0] Checking tx_Data_request for 561764 times 
[24.0] Checking tx_Data_request for 561765 times 
[24.0] Checking tx_Data_request for 561766 times 
[24.0] Checking tx_Data_request for 561767 times 
[24.0] Checking tx_Data_request for 561768 times 
[24.0] Checking tx_Data_request for 561769 times 
[24.0] Checking tx_Data_request for 561770 times 
[24.0] Checking tx_Data_request for 561771 times 
[24.0] Checking tx_Data_request for 561772 times 
[24.0] Checking tx_Data_request for 561773 times 
[24.0] Checking tx_Data_request for 561774 times 
[24.0] Checking tx_Data_request for 561775 times 
[24.0] Checking tx_Data_request for 561776 times 
[24.0] Checking [1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0m[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0mtx_Data_request for 561777 times 
[24.0] Checking tx_Data_request for 561778 times 
[24.0] Checking tx_Data_request for 561779 times 
[24.0] Checking tx_Data_request for 561780 times 
[24.0] Checking tx_Data_request for 561781 times 
[24.0] Checking tx_Data_request for 561782 times 
[24.0] Checking tx_Data_request for 561783 times 
[24.0] Checking tx_Data_request for 561784 times 
[24.0] Checking tx_Data_request for 561785 times 
[24.0] Checking tx_Data_request for 561786 times 
[24.0] Checking tx_Data_request for 561787 times 
[24.0] Checking tx_Data_request for 561788 times 
[24.0] Checking tx_Data_request for 561789 times 
[24.0] Checking tx_Data_request for 561790 times 
[24.0] Checking tx_Data_request for 561791 times 
[24.0] Checking tx_Data_request for 561792 times 
[24.0] Checking tx_Data_request for 561793 times 
[24.0] Checking tx_Data_request for 561794 times 
[24.0] Checking tx_Data_request for 561795 times 
[24.0] Checking tx_Data_request for 561796 times 
[24.0] Checking tx_Data_request for 561797 times 
[24.0] Checking tx_Data_request for 561798 times 
[24.0] Checking tx_Data_request for 561799 times 
[24.0] Checking tx_Data_request for 561800 times 
[24.0] Checking tx_Data_request for 561801 times 
[24.0] Checking tx_Data_request for 561802 times 
[24.0] Checking tx_Data_request for 561803 times 
[24.0] Checking tx_Data_request for 561804 times 
[24.0] Checking tx_Data_request for 561805 times 
[24.0] Checking tx_Data_request for 561806 times 
[24.0] Checking tx_Data_request for 561807 times 
[24.0] Checking tx_Data_request for 561808 times 
[24.0] Checking tx_Data_request for 561809 times 
[24.0] Checking tx_Data_request for 561810 times 
[24.0] Checking tx_Data_request for 561811 times 
[24.0] Checking tx_Data_request for 561812 times 
[24.0] Checking tx_Data_request for 561813 times 
[24.0] Checking tx_Data_request for 561814 times 
[24.0] Checking tx_Data_request for 561815 times 
[24.0] Checking tx_Data_request for 561816 times 
[24.0] Checking tx_Data_request for 561817 times 
[24.0] Checking tx_Data_request for 561818 times 
[24.0] Checking tx_Data_request for 561819 times 
[24.0] Checking tx_Data_request for 561820 times 
[24.0] Checking tx_Data_request for 561821 times 
[24.0] Checking tx_Data_request for 561822 times 
[24.0] Checking tx_Data_request for 561823 times 
[24.0] Checking tx_Data_request for 561824 times 
[24.0] Checking tx_Data_request for 561825 times 
[24.0] Checking tx_Data_request for 561826 times 
[24.0] Checking tx_Data_request for 561827 times 
[24.0] Checking tx_Data_request for 561828 times 
[24.0] Checking tx_Data_request for 561829 times 
[24.0] Checking tx_Data_request for 561830 times 
[24.0] Checking tx_Data_request for 561831 times 
[24.0] Checking tx_Data_request for 561832 times 
[24.0] Checking tx_Data_request for 561833 times 
[24.0] Checking tx_Data_request for 561834 times 
[24.0] Checking tx_Data_request for 561835 times 
[24.0] Checking tx_Data_request for 561836 times 
[24.0] Checking tx_Data_request for 561837 times 
[24.0] Checking tx_Data_request for 561838 times 
[24.0] Checking tx_Data_request for 561839 times 
[24.0] Checking tx_Data_request for 561840 times 
[24.0] Checking tx_Data_request for 561841 times 
[24.0] Checking tx_Data_request for 561842 times 
[24.0] Checking tx_Data_request for 561843 times 
[24.0] Checking tx_Data_request for 561844 times 
[24.0] Checking tx_Data_request for 561845 times 
[24.0] Checking tx_Data_request for 561846 times 
[24.0] Checking tx_Data_request for 561847 times 
[24.0] Checking tx_Data_request for 561848 times 
[24.0] Checking tx_Data_request for 561849 times 
[24.0] Checking tx_Data_request for 561850 times 
[24.0] Checking tx_Data_request for 561851 times 
[24.0] Checking tx_Data_request for 561852 times 
[24.0] Checking tx_Data_request for 561853 times 
[24.0] Checking tx_Data_request for 561854 times 
[24.0] Checking tx_Data_request for 561855 times 
[24.0] Checking tx_Data_request for 561856 times 
[24.0] Checking tx_Data_request for 561857 times 
[24.0] Checking tx_Data_request for 561858 times 
[24.0] Check[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0ming tx_Data_request for 561859 times 
[24.0] Checking tx_Data_request for 561860 times 
[24.0] Checking tx_Data_request for 561861 times 
[24.0] Checking tx_Data_request for 561862 times 
[24.0] Checking tx_Data_request for 561863 times 
[24.0] Checking tx_Data_request for 561864 times 
[24.0] Checking tx_Data_request for 561865 times 
[24.0] Checking tx_Data_request for 561866 times 
[24.0] Checking tx_Data_request for 561867 times 
[24.0] Checking tx_Data_request for 561868 times 
[24.0] Checking tx_Data_request for 561869 times 
[24.0] Checking tx_Data_request for 561870 times 
[24.0] Checking tx_Data_request for 561871 times 
[24.0] Checking tx_Data_request for 561872 times 
[24.0] Checking tx_Data_request for 561873 times 
[24.0] Checking tx_Data_request for 561874 times 
[24.0] Checking tx_Data_request for 561875 times 
[24.0] Checking tx_Data_request for 561876 times 
[24.0] Checking tx_Data_request for 561877 times 
[24.0] Checking tx_Data_request for 561878 times 
[24.0] Checking tx_Data_request for 561879 times 
[24.0] Checking tx_Data_request for 561880 times 
[24.0] Checking tx_Data_request for 561881 times 
[24.0] Checking tx_Data_request for 561882 times 
[24.0] Checking tx_Data_request for 561883 times 
[24.0] Checking tx_Data_request for 561884 times 
[24.0] Checking tx_Data_request for 561885 times 
[24.0] Checking tx_Data_request for 561886 times 
[24.0] Checking tx_Data_request for 561887 times 
[24.0] Checking tx_Data_request for 561888 times 
[24.0] Checking tx_Data_request for 561889 times 
[24.0] Checking tx_Data_request for 561890 times 
[24.0] Checking tx_Data_request for 561891 times 
[24.0] Checking tx_Data_request for 561892 times 
[24.0] Checking tx_Data_request for 561893 times 
[24.0] Checking tx_Data_request for 561894 times 
[24.0] Checking tx_Data_request for 561895 times 
[24.0] Checking tx_Data_request for 561896 times 
[24.0] Checking tx_Data_request for 561897 times 
[24.0] Checking tx_Data_request for 561898 times 
[24.0] Checking tx_Data_request for 561899 times 
[24.0] Checking tx_Data_request for 561900 times 
[24.0] Checking tx_Data_request for 561901 times 
[24.0] Checking tx_Data_request for 561902 times 
[24.0] Checking tx_Data_request for 561903 times 
[24.0] Checking tx_Data_request for 561904 times 
[24.0] Checking tx_Data_request for 561905 times 
[24.0] Checking tx_Data_request for 561906 times 
[24.0] Checking tx_Data_request for 561907 times 
[24.0] Checking tx_Data_request for 561908 times 
[24.0] Checking tx_Data_request for 561909 times 
[24.0] Checking tx_Data_request for 561910 times 
[24.0] Checking tx_Data_request for 561911 times 
[24.0] Checking tx_Data_request for 561912 times 
[24.0] Checking tx_Data_request for 561913 times 
[24.0] Checking tx_Data_request for 561914 times 
[24.0] Checking tx_Data_request for 561915 times 
[24.0] Checking tx_Data_request for 561916 times 
[24.0] Checking tx_Data_request for 561917 times 
[24.0] Checking tx_Data_request for 561918 times 
[24.0] Checking tx_Data_request for 561919 times 
[24.0] Checking tx_Data_request for 561920 times 
[24.0] Checking tx_Data_request for 561921 times 
[24.0] Checking tx_Data_request for 561922 times 
[24.0] Checking tx_Data_request for 561923 times 
[24.0] Checking tx_Data_request for 561924 times 
[24.0] Checking tx_Data_request for 561925 times 
[24.0] Checking tx_Data_request for 561926 times 
[24.0] Checking tx_Data_request for 561927 times 
[24.0] Checking tx_Data_request for 561928 times 
[24.0] Checking tx_Data_request for 561929 times 
[24.0] Checking tx_Data_request for 561930 times 
[24.0] Checking tx_Data_request for 561931 times 
[24.0] Checking tx_Data_request for 561932 times 
[24.0] Checking tx_Data_request for 561933 times 
[24.0] Checking tx_Data_request for 561934 times 
[24.0] Checking tx_Data_request for 561935 times 
[24.0] Checking tx_Data_request for 561936 times 
[24.0] Checking tx_Data_request for 561937 times 
[24.0] Checking tx_Data_request for 561938 times 
[24.0] Checking tx_Data_request for 561939 times 
[24.0] Checking tx_Data_request for 561940 times 
[24.0] C[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0m[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0mhecking tx_Data_request for 561941 times 
[24.0] Checking tx_Data_request for 561942 times 
[24.0] Checking tx_Data_request for 561943 times 
